Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2018071,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
2021442,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
2022234,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
2023076,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
2024102,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
2025237,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
2026148,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
2027064,00000329,false,Rx,0,8,E3,7D,80,0E,11,33,00,14,
2027973,00000153,false,Rx,0,8,00,80,00,FF,00,FF,00,00,
2028062,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
2031389,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
2032290,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
2033240,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
2034071,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
2035007,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
2035065,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
2036101,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
2037078,00000329,false,Rx,0,8,E3,7D,80,0E,11,33,00,14,
2038260,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
2041442,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
2041702,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
2041976,000001F0,false,Rx,0,8,00,40,00,00,00,00,00,00,
2042239,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
2042505,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
2043067,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
2043407,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
2044235,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
2045127,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
2046230,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
2047136,00000329,false,Rx,0,8,E3,7D,80,0E,11,33,00,14,
2048126,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
2048857,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
2051452,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
2052231,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
2053074,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
2054101,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
2055102,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
2055997,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
2056069,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
2057072,00000329,false,Rx,0,8,E3,7D,80,0E,11,33,00,14,
2058083,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
2061445,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
2062235,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
2063091,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
2063106,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
2063436,000001F0,false,Rx,0,8,00,40,00,00,00,00,00,00,
2063642,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
2064259,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
2065138,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
2066104,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
2067073,00000329,false,Rx,0,8,E3,7D,80,0E,11,33,00,14,
2068103,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
2070015,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
2071402,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
2072334,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
2073322,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
2074153,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
2075105,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
2076078,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
2077008,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
2077055,00000329,false,Rx,0,8,0C,7D,80,0E,11,33,00,14,
2078054,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
2081401,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
2082331,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
2083374,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
2083760,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
2083992,000001F0,false,Rx,0,8,00,40,00,00,00,00,00,00,
2084222,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
2084515,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
2085392,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
2086138,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
2087105,00000329,false,Rx,0,8,0C,7D,80,0E,11,33,00,14,
2088077,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
2091072,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
2091087,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
2092082,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
2093085,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
2093469,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
2094390,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
2095127,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
2096124,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
2097124,00000329,false,Rx,0,8,0C,7D,80,0E,11,33,00,14,
2097916,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
2098150,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
2101114,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
2102132,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
2103124,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
2104124,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
2104713,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
2104977,000001F0,false,Rx,0,8,01,40,00,00,00,00,00,00,
2105228,000001F1,false,Rx,0,8,0F,00,00,00,00,00,00,00,
2105469,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
2106125,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
2107126,00000329,false,Rx,0,8,0C,7D,80,0E,11,33,00,14,
2108119,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
2111108,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
2111734,00000153,false,Rx,0,8,00,00,00,FF,00,FF,00,00,
2112113,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
2113120,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
