$STARTTIME=45628.8611853472
Start time: 02/12/2024 20:40:06.414

C:\Users\norman\Documents\Business\AlphaX\CAN stuff\kona\turnonlog.csv

    Generated by PEAK-Converter Version 3.0.3.557
    Data imported from C:\Users\norman\Documents\Business\AlphaX\CAN stuff\kona\turnonlog.trc

-------------------------------------------------------------------------------
   Glossary:
     Rx: The frame was received
     Tx: The frame was transmitted
     DT: CAN or J1939 data frame
     FD: CAN FD data frame
     FB: CAN FD data frame with BRS bit set (Bit Rate Switch)
     FE: CAN FD data frame with ESI bit set (Error State Indicator)
     BI: CAN FD data frame with both BRS and ESI bits set
     RR: Remote Request Frame
     ST: Hardware Status change
     ER: Error Frame
     EV: Event. User-defined text, begins directly after 2-digit type indicator
     Reserved column: Destination address of a J1939 message, if any
-------------------------------------------------------------------------------

Number Time (ms) Bus Direction Type ID (hex) Reserved Length D0 D1 D2 D3 D4 D5 D6 D7 D... 
268 141.700 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
269 142.000 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
270 142.200 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
271 142.500 1 Rx DT 0368 - 8 A0 00 00 00 00 00 00 60
272 142.700 1 Rx DT 0453 - 5 00 80 80 00 00
273 143.000 1 Rx DT 0470 - 8 00 00 04 00 00 00 00 BC
274 143.600 1 Rx DT 0130 - 8 9C 7F 66 80 00 00 0B C5
275 143.800 1 Rx DT 0140 - 8 4B 81 00 64 20 00 0A 75
276 143.900 1 Rx DT 0162 - 3 EC 01 00
277 144.700 1 Rx DT 0386 - 8 00 40 00 C0 00 40 00 80
278 145.000 1 Rx DT 0387 - 8 02 14 00 00 00 23 0D 00
279 146.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 70 1E
280 146.500 1 Rx DT 0164 - 4 00 08 14 1C
281 146.800 1 Rx DT 0220 - 8 F7 03 80 0C 00 D2 0F 9E
282 147.000 1 Rx DT 0251 - 8 55 03 C4 FB 00 7C E7 7C
283 147.200 1 Rx DT 02B0 - 5 48 FF 00 07 F4
284 147.400 1 Rx DT 0381 - 8 80 D8 3B 00 00 E2 76 01
285 148.600 1 Rx DT 04F1 - 4 20 00 62 71
286 149.600 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 2E
287 149.800 1 Rx DT 0329 - 8 E3 81 7E 8E 11 27 00 10
288 151.700 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
289 151.900 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
290 152.200 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
291 152.500 1 Rx DT 0368 - 8 F0 00 00 00 00 00 00 60
292 152.700 1 Rx DT 0436 - 4 00 00 00 00
293 153.500 1 Rx DT 0130 - 8 9D 7F 66 80 00 00 0C CB
294 153.800 1 Rx DT 0140 - 8 4F 81 00 64 20 00 0B 01
295 154.000 1 Rx DT 0162 - 3 EC 01 00
296 156.400 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 80 2E
297 156.500 1 Rx DT 0164 - 4 00 08 16 1E
298 156.700 1 Rx DT 0220 - 8 F7 03 80 0C 00 CE 0F AA
299 157.000 1 Rx DT 0251 - 8 55 03 C5 EB 00 7B D7 7C
300 157.200 1 Rx DT 02B0 - 5 49 FF 00 07 F5
301 159.600 1 Rx DT 0260 - 8 00 00 04 00 00 08 5F 3D
302 159.900 1 Rx DT 0329 - 8 E3 81 7E 8E 11 27 00 10
303 161.400 1 Rx DT 058B - 8 11 00 04 00 00 00 00 00
304 161.700 1 Rx DT 0356 - 7 00 00 00 00 00 00 00
305 162.000 1 Rx DT 0366 - 7 00 00 00 00 00 00 00
306 162.200 1 Rx DT 0367 - 8 00 00 00 00 70 00 00 00
307 162.500 1 Rx DT 0368 - 8 00 00 00 00 00 00 00 60
308 162.700 1 Rx DT 0453 - 5 00 80 80 00 00
309 162.900 1 Rx DT 0470 - 8 00 00 00 00 00 00 00 00
310 163.400 1 Rx DT 0386 - 8 00 80 00 C0 00 40 00 80
311 163.800 1 Rx DT 0130 - 8 A4 7F 6C 80 00 00 0D 2C
312 164.200 1 Rx DT 0162 - 3 EC 01 00
313 164.400 1 Rx DT 0140 - 8 4D 81 00 64 20 00 0C E8
314 164.800 1 Rx DT 0387 - 8 02 14 00 00 00 24 0E 00
315 166.300 1 Rx DT 0153 - 8 20 80 10 FF 00 FF 90 3E
316 166.600 1 Rx DT 0164 - 4 00 08 18 10
317 166.800 1 Rx DT 0220 - 8 F7 03 80 0C 00 CE 0F BA
318 167.000 1 Rx DT 0251 - 8 55 03 C6 DC 00 7B C7 7C
319 167.200 1 Rx DT 02B0 - 5 48 FF 00 07 D6
320 167.400 1 Rx DT 0381 - 8 80 E0 3B 00 00 E3 7F 01
