Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6348900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,85,80,
6368900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,87,80,
6388900,00000514,false,Rx,0,8,00,08,78,00,CC,2A,89,80,
6408900,00000514,false,Rx,0,8,00,08,78,00,CC,2A,8B,80,
6428900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8D,80,
6449000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8F,80,
6468900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,81,80,
6488900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,83,80,
6509000,00000514,false,Rx,0,8,00,08,78,00,4C,2B,85,80,
6528900,00000514,false,Rx,0,8,00,08,78,00,4C,2B,87,80,
6548900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,89,80,
6568900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8B,80,
6588900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8D,80,
6609000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8F,80,
6628900,00000514,false,Rx,0,8,00,08,78,00,CC,2A,81,80,
6648900,00000514,false,Rx,0,8,00,08,78,00,CC,2A,83,80,
6668900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,85,80,
6688900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,87,80,
6708900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,89,80,
6728900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8B,80,
6748900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8D,80,
6769000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8F,80,
6788900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,81,80,
6808900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,83,80,
6828900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,85,80,
6849000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,87,80,
6869000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,89,80,
6888900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8B,80,
6908900,00000514,false,Rx,0,8,00,08,78,00,CC,2A,8D,80,
6929000,00000514,false,Rx,0,8,00,08,78,00,CC,2A,8F,80,
6949000,00000514,false,Rx,0,8,00,08,78,00,CC,2A,81,80,
6969000,00000514,false,Rx,0,8,00,08,78,00,CC,2A,83,80,
6988900,00000514,false,Rx,0,8,00,08,78,00,CC,2A,85,80,
7009000,00000514,false,Rx,0,8,00,08,78,00,CC,2A,87,80,
7029000,00000514,false,Rx,0,8,00,08,78,00,4C,2B,89,80,
7049000,00000514,false,Rx,0,8,00,08,78,00,4C,2B,8B,80,
7069000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8D,80,
7089000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8F,80,
7109000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,81,80,
7129000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,83,80,
7149000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,85,80,
7169000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,87,80,
7189000,00000514,false,Rx,0,8,00,08,78,00,CC,2A,89,80,
7209000,00000514,false,Rx,0,8,00,08,78,00,CC,2A,8B,80,
7229000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8D,80,
7249000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8F,80,
7269000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,81,80,
7289000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,83,80,
7309000,00000514,false,Rx,0,8,00,08,78,00,CC,2A,85,80,
