Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
745700,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
746000,00000600,false,Rx,0,8,00,DD,01,4C,D8,2A,38,00,
746200,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
755300,00000410,false,Rx,0,8,11,00,21,0C,00,DB,05,C1,
755500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
755800,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
756000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
765300,00000410,false,Rx,0,8,11,00,21,0C,00,E6,05,C1,
765500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
765700,00000412,false,Rx,0,8,00,53,01,53,01,10,01,00,
766000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
775300,00000410,false,Rx,0,8,11,00,21,0C,00,E6,05,C1,
775500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
775700,00000412,false,Rx,0,8,00,53,01,53,01,10,01,00,
776000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
785300,00000410,false,Rx,0,8,11,00,21,0C,00,E1,05,C1,
785500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
785800,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
786000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
795300,00000410,false,Rx,0,8,11,00,21,0C,00,E1,05,C1,
795500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
795700,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
796000,00000600,false,Rx,0,8,00,DE,01,4C,D9,2A,38,00,
796300,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
805300,00000410,false,Rx,0,8,11,00,21,0C,00,EE,05,C1,
805500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
805800,00000412,false,Rx,0,8,00,53,01,53,01,10,01,00,
806000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
815300,00000410,false,Rx,0,8,11,00,21,0C,00,EE,05,C1,
815500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
815800,00000412,false,Rx,0,8,00,53,01,53,01,10,01,00,
816000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
825300,00000410,false,Rx,0,8,11,00,21,0C,00,E6,05,C1,
825500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
825700,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
826000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
835200,00000410,false,Rx,0,8,11,00,21,0C,00,E6,05,C1,
835500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
835800,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
836000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
845300,00000410,false,Rx,0,8,11,00,21,0C,00,F4,05,C1,
845500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
845700,00000412,false,Rx,0,8,00,53,01,53,01,10,01,00,
846000,00000600,false,Rx,0,8,00,E1,01,4C,DA,2A,38,00,
846200,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
855300,00000410,false,Rx,0,8,11,00,21,0C,00,F4,05,C1,
855500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
855700,00000412,false,Rx,0,8,00,53,01,53,01,10,01,00,
856000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
865300,00000410,false,Rx,0,8,11,00,21,0C,00,EC,05,C1,
865500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
865800,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
866000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
875300,00000410,false,Rx,0,8,11,00,21,0C,00,EC,05,C1,
875500,00000411,false,Rx,0,8,01,FF,7F,00,01,00,00,3D,
875700,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
876000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
885300,00000410,false,Rx,0,8,11,00,22,0C,00,F8,05,C1,
885500,00000411,false,Rx,0,8,01,FF,BF,00,01,00,00,3D,
885800,00000412,false,Rx,0,8,00,53,01,53,01,10,01,00,
886000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
895200,00000410,false,Rx,0,8,11,00,22,0C,00,F8,05,C1,
895500,00000411,false,Rx,0,8,01,FF,BF,00,01,00,00,3D,
895700,00000412,false,Rx,0,8,00,53,01,53,01,10,01,00,
896000,00000600,false,Rx,0,8,00,E2,01,4C,DB,2A,38,00,
896200,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
905300,00000410,false,Rx,0,8,11,00,21,0C,00,F1,05,C1,
905500,00000411,false,Rx,0,8,01,FF,BF,00,01,00,00,3D,
905700,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
906000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
915200,00000410,false,Rx,0,8,11,00,21,0C,00,F1,05,C1,
